Maturity Level,Capability,ControlID,Control
1,Sensitivity Labels,SL_1.1,Sensitivity label is Published
1,Sensitivity Labels,SL_1.2,Sensitivity label content markings are enabled
1,Sensitivity Labels,SL_1.3,A sensitivity label taxonomy that includes all required classifications 
1,Sensitivity Labels,SL_1.4,Sensitivity label policy configuration for mandatory labelling is enabled
2,Sensitivity Labels,SL_1.7,Sensitivity label policy configuration for inheriting label from content is enabled
1,Sensitivity Labels,SL_1.8,Sensitivity label policy configuration for requesting justification on label downgrade is enabled
1,Sensitivity Labels,SL_1.10,Sensitivity label policy configuration for more info URL published with learning and self-help material
3,Sensitivity Labels,SL_1.12,Sensitivity label policy configuration for default labelling
2,Sensitivity Labels,SL_1.13,Meeting and calendar item sensitivity label scope
2,Sensitivity Labels,SL_1.14,Groups and Sites label settings configured
3,Sensitivity Labels,SL_1.16,Enablement of item encryption to protect unauthorized access to classified items
2,Sensitivity Auto-labelling,SAL_2.3,Label recommendations provided to users when sensitive information is detected
2,Sensitivity Auto-labelling,SAL_2.4,Automatic labelling of files at rest in SharePoint and OneDrive locations
1,Data Loss Prevention,DLP_4.1,DLP policies applying protective markings : Prepend Subject in Emails
1,Data Loss Prevention,DLP_4.2,DLP policies applying protective markings : Set x-Headers t in Emails
2,Data Loss Prevention,DLP_4.3,DLP policies protecting security classified items (OFFICIAL: Sensitive and above)
2,Data Loss Prevention,DLP_4.4,"DLP policies protecting sensitive information (health, PII, financial, etc.)"
2,Data Loss Prevention,DLP_4.6,DLP policies preventing data spill (higher than permitted classifications)
2,Data Loss Prevention,DLP_4.7,DLP policies protecting organization specific sensitive info
3,Data Loss Prevention,DLP_4.8,Inclusion of advanced classifiers in DLP policy conditions to reduce false positives
